game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Grand Theft Auto V,PS4,19.39,Rockstar Games,Action,18 Nov 14,https://www.vgchartz.com/games/boxart/full_5563178AmericaFrontccc.jpg,https://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All
Uncharted 4: A Thief's End,PS4,16.25,Sony Interactive Entertainment,Action,10 May 16,https://www.vgchartz.com/games/boxart/full_2804791AmericaFrontccc.jpg,https://www.vgchartz.com/game/77189/uncharted-4-a-thiefs-end/?region=All
God of War (2018),PS4,11.00,Sony Interactive Entertainment,Action,20 Apr 18,https://www.vgchartz.com/games/boxart/full_3094030AmericaFrontccc.jpg,https://www.vgchartz.com/game/120125/god-of-war-2018/?region=All
Red Dead Redemption 2,PS4,13.94,Rockstar Games,Action-Adventure,26 Oct 18,https://www.vgchartz.com/games/boxart/full_4653215AmericaFrontccc.jpg,https://www.vgchartz.com/game/140683/red-dead-redemption-2/?region=All
Marvel's Spider-Man,PS4,13.20,Sony Interactive Entertainment,Action-Adventure,07 Sep 18,https://www.vgchartz.com/games/boxart/full_7960565AmericaFrontccc.jpg,https://www.vgchartz.com/game/120133/marvels-spider-man/?region=All
The Last of Us Remastered,PS4,11.78,Sony Computer Entertainment,Action-Adventure,29 Jul 14,https://www.vgchartz.com/games/boxart/full_6199072AmericaFrontccc.jpg,https://www.vgchartz.com/game/80977/the-last-of-us-remastered/?region=All
Watch Dogs,PS4,4.32,Ubisoft,Action-Adventure,27 May 14,https://www.vgchartz.com/games/boxart/full_5952592AmericaFrontccc.jpg,https://www.vgchartz.com/game/71547/watch-dogs/?region=All
Assassin's Creed IV: Black Flag,PS4,3.19,Ubisoft,Action-Adventure,15 Nov 13,https://www.vgchartz.com/games/boxart/full_4303408AmericaFrontccc.jpg,https://www.vgchartz.com/game/71596/assassins-creed-iv-black-flag/?region=All
Assassin's Creed Odyssey,PS4,3.18,Ubisoft,Action-Adventure,05 Oct 18,https://www.vgchartz.com/games/boxart/full_1336415AmericaFrontccc.jpg,https://www.vgchartz.com/game/222151/assassins-creed-odyssey/?region=All
Mafia III,PS4,2.87,2K Games,Action-Adventure,07 Oct 16,https://www.vgchartz.com/games/boxart/full_9483980AmericaFrontccc.jpg,https://www.vgchartz.com/game/85862/mafia-iii/?region=All
Far Cry: Primal,PS4,2.73,Ubisoft,Action-Adventure,23 Feb 16,https://www.vgchartz.com/games/boxart/full_7928945AmericaFrontccc.jpg,https://www.vgchartz.com/game/85944/far-cry-primal/?region=All
No Man's Sky,PS4,2.26,Hello Games,Action-Adventure,09 Aug 16,https://www.vgchartz.com/games/boxart/full_8736251AmericaFrontccc.jpg,https://www.vgchartz.com/game/84663/no-mans-sky/?region=All
