game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Nights of Azure 2: Bride of the New Moon,NS,0.06,Tecmo Koei,Action,24 Oct 17,https://www.vgchartz.com/games/boxart/full_9174690AmericaFrontccc.jpg,https://www.vgchartz.com/game/185578/nights-of-azure-2-bride-of-the-new-moon/?region=All
Ittle Dew 2+,NS,0.06,Nicalis,Action,14 Nov 17,https://www.vgchartz.com/games/boxart/full_2839176AmericaFrontccc.jpg,https://www.vgchartz.com/game/195582/ittle-dew-2/?region=All
Azure Striker Gunvolt: Striker Pack,NS,0.06,Nighthawk Interactive,Action,21 Nov 17,https://www.vgchartz.com/games/boxart/full_2669690AmericaFrontccc.jpg,https://www.vgchartz.com/game/198832/azure-striker-gunvolt-striker-pack/?region=All
One Piece: Pirate Warriors 3 - Deluxe Edition,NS,0.06,Bandai Namco Entertainment,Action,11 May 18,https://www.vgchartz.com/games/boxart/full_6609360JapanFrontccc.png,https://www.vgchartz.com/game/220566/one-piece-pirate-warriors-3-deluxe-edition/?region=All
Tiny Barbarian DX,NS,0.06,Nicalis,Action,10 Oct 17,https://www.vgchartz.com/games/boxart/full_2175340AmericaFrontccc.jpg,https://www.vgchartz.com/game/202281/tiny-barbarian-dx/?region=All
The Escapists 2,NS,0.05,Sold Out,Action,30 Oct 18,https://www.vgchartz.com/games/boxart/full_9602363AmericaFrontccc.jpg,https://www.vgchartz.com/game/192935/the-escapists-2/?region=All
Minna de Wai Wai! Spelunker,NS,0.04,Square Enix,Action,20 Apr 17,https://www.vgchartz.com/games/boxart/full_6400575JapanFrontccc.jpg,https://www.vgchartz.com/game/177913/minna-de-wai-wai-spelunker/?region=All
Sine Mora EX,NS,0.04,THQ Nordic,Action,26 Sep 17,https://www.vgchartz.com/games/boxart/full_6562379AmericaFrontccc.jpg,https://www.vgchartz.com/game/178955/sine-mora-ex/?region=All
Okami HD,NS,0.04,Capcom,Action,09 Aug 18,https://www.vgchartz.com/games/boxart/full_1357503JapanFrontccc.png,https://www.vgchartz.com/game/221275/okami-hd/?region=All
Code of  Princess EX,NS,0.03,Nicalis,Action,31 Jul 18,https://www.vgchartz.com/games/boxart/full_807279AmericaFrontccc.jpg,https://www.vgchartz.com/game/221270/code-of-princess-ex/?region=All
