game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Skylanders: SuperChargers,PS4,0.45,Activision,Action-Adventure,20 Sep 15,https://www.vgchartz.com/games/boxart/full_8828718AmericaFrontccc.jpg,https://www.vgchartz.com/game/85608/skylanders-superchargers/?region=All
Yakuza: Like a Dragon,PS4,0.40,Sega,Action-Adventure,01 Dec 20,https://www.vgchartz.com/games/boxart/full_8196761AmericaFrontccc.jpg,https://www.vgchartz.com/game/225652/yakuza-like-a-dragon/?region=All
Resident Evil: Origins Collection,PS4,0.37,Capcom,Action-Adventure,19 Jan 16,https://www.vgchartz.com/games/boxart/full_7912087AmericaFrontccc.jpg,https://www.vgchartz.com/game/85547/resident-evil-origins-collection/?region=All
Gravity Rush 2,PS4,0.35,Sony Interactive Entertainment,Action-Adventure,20 Jan 17,https://www.vgchartz.com/games/boxart/full_8631871AmericaFrontccc.jpg,https://www.vgchartz.com/game/86436/gravity-rush-2/?region=All
Murdered: Soul Suspect,PS4,0.33,Square Enix,Action-Adventure,03 Jun 14,https://www.vgchartz.com/games/boxart/full_9353070AmericaFrontccc.jpg,https://www.vgchartz.com/game/78936/murdered-soul-suspect/?region=All
Robinson: The Journey,PS4,0.27,Sony Interactive Entertainment,Action-Adventure,08 Nov 16,https://www.vgchartz.com/games/boxart/full_1045409AmericaFrontccc.jpg,https://www.vgchartz.com/game/139457/robinson-the-journey/?region=All
Shenmue I & II,PS4,0.27,Sega,Action-Adventure,21 Aug 18,https://www.vgchartz.com/games/boxart/full_2130983AmericaFrontccc.jpg,https://www.vgchartz.com/game/221914/shenmue-i-amp-ii/?region=All
Darksiders II: Deathinitive Edition,PS4,0.24,Nordic Games,Action-Adventure,30 Oct 15,https://www.vgchartz.com/games/boxart/full_6828416AmericaFrontccc.jpg,https://www.vgchartz.com/game/85391/darksiders-ii-deathinitive-edition/?region=All
Judgment,PS4,0.22,Sega,Action-Adventure,25 Jun 19,https://www.vgchartz.com/games/boxart/full_498665AmericaFrontccc.jpg,https://www.vgchartz.com/game/223191/judgment/?region=All
Conan Exiles,PS4,0.21,Maximum Games,Action-Adventure,08 May 18,https://www.vgchartz.com/games/boxart/full_4379029AmericaFrontccc.jpg,https://www.vgchartz.com/game/221379/conan-exiles/?region=All
Dead Rising 4: Frank's Big Package,PS4,0.16,Capcom,Action-Adventure,05 Dec 17,https://www.vgchartz.com/games/boxart/full_711972AmericaFrontccc.jpg,https://www.vgchartz.com/game/200191/dead-rising-4-franks-big-package/?region=All
Gravity Rush Remastered,PS4,0.16,Sony Computer Entertainment,Action-Adventure,02 Feb 16,https://www.vgchartz.com/games/boxart/full_4006314AmericaFrontccc.jpg,https://www.vgchartz.com/game/86321/gravity-rush-remastered/?region=All
Assassin's Creed Rogue Remastered,PS4,0.15,Ubisoft,Action-Adventure,20 Mar 18,https://www.vgchartz.com/games/boxart/full_9656046PALFrontccc.jpg,https://www.vgchartz.com/game/220927/assassins-creed-rogue-remastered/?region=All
We Happy Few,PS4,0.14,Gearbox Software,Action-Adventure,10 Aug 18,https://www.vgchartz.com/games/boxart/full_4596046AmericaFrontccc.jpg,https://www.vgchartz.com/game/204842/we-happy-few/?region=All
