game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Thief,XOne,0.48,Square Enix,Action,25 Feb 14,https://www.vgchartz.com/games/boxart/full_3631996AmericaFrontccc.jpg,https://www.vgchartz.com/game/71737/thief/?region=All
Disney Infinity 3.0,XOne,0.46,Disney Interactive Studios,Action,30 Aug 15,https://www.vgchartz.com/games/boxart/full_5094092AmericaFrontccc.jpg,https://www.vgchartz.com/game/85466/disney-infinity-30/?region=All
Lego Batman 3: Beyond Gotham,XOne,0.44,Warner Bros. Interactive Entertainment,Action,11 Nov 14,https://www.vgchartz.com/games/boxart/full_5803276AmericaFrontccc.jpg,https://www.vgchartz.com/game/82481/lego-batman-3-beyond-gotham/?region=All
Hello Neighbor,XOne,0.42,Gearbox Software,Action,08 Dec 17,https://www.vgchartz.com/games/boxart/full_3771758AmericaFrontccc.jpg,https://www.vgchartz.com/game/213698/hello-neighbor/?region=All
The Evil Within 2,XOne,0.39,Bethesda Softworks,Action,13 Oct 17,https://www.vgchartz.com/games/boxart/full_4045856AmericaFrontccc.jpg,https://www.vgchartz.com/game/181692/the-evil-within-2/?region=All
The Lego Ninjago Movie Videogame,XOne,0.33,Warner Bros. Interactive Entertainment,Action,22 Sep 17,https://www.vgchartz.com/games/boxart/full_4910275AmericaFrontccc.jpg,https://www.vgchartz.com/game/186215/the-lego-ninjago-movie-videogame/?region=All
LEGO The Incredibles,XOne,0.32,Warner Bros. Interactive Entertainment,Action,15 Jun 18,https://www.vgchartz.com/games/boxart/full_4036684AmericaFrontccc.jpg,https://www.vgchartz.com/game/221757/lego-the-incredibles/?region=All
Hitman,XOne,0.31,Square Enix,Action,31 Jan 17,https://www.vgchartz.com/games/boxart/full_8895760AmericaFrontccc.png,https://www.vgchartz.com/game/84908/hitman/?region=All
Assassin's Creed The Ezio Collection,XOne,0.27,Ubisoft,Action,15 Nov 16,https://www.vgchartz.com/games/boxart/full_2014261AmericaFrontccc.jpg,https://www.vgchartz.com/game/133966/assassins-creed-the-ezio-collection/?region=All
Friday the 13th: The Game,XOne,0.27,Gun Media,Action,13 Oct 17,https://www.vgchartz.com/games/boxart/full_315896AmericaFrontccc.jpg,https://www.vgchartz.com/game/193508/friday-the-13th-the-game/?region=All
Saints Row IV: Re-Elected,XOne,0.24,Deep Silver,Action,27 Jan 15,https://www.vgchartz.com/games/boxart/full_6848833AmericaFrontccc.jpg,https://www.vgchartz.com/game/84579/saints-row-iv-re-elected/?region=All
A Way Out,XOne,0.24,Electronic Arts,Action,23 Mar 18,https://www.vgchartz.com/games/boxart/full_3002154AmericaFrontccc.jpg,https://www.vgchartz.com/game/181295/a-way-out/?region=All
Deadpool,XOne,0.22,Activision,Action,18 Nov 15,https://www.vgchartz.com/games/boxart/full_5688295AmericaFrontccc.jpg,https://www.vgchartz.com/game/85889/deadpool/?region=All
LEGO Harry Potter Collection,XOne,0.22,Warner Bros. Interactive Entertainment,Action,30 Oct 18,https://www.vgchartz.com/games/boxart/full_6654991AmericaFrontccc.jpg,https://www.vgchartz.com/game/222720/lego-harry-potter-collection/?region=All
Batman: Return to Arkham,XOne,0.20,Warner Bros. Interactive Entertainment,Action,18 Oct 16,https://www.vgchartz.com/games/boxart/full_9981640AmericaFrontccc.jpg,https://www.vgchartz.com/game/113290/batman-return-to-arkham/?region=All
Dishonored: Definitive Edition,XOne,0.19,Bethesda Softworks,Action,25 Aug 15,https://www.vgchartz.com/games/boxart/full_6965179AmericaFrontccc.jpg,https://www.vgchartz.com/game/85734/dishonored-definitive-edition/?region=All
Naruto to Boruto: Shinobi Striker,XOne,0.19,Bandai Namco Games,Action,31 Aug 18,https://www.vgchartz.com/games/boxart/full_510563AmericaFrontccc.jpg,https://www.vgchartz.com/game/168457/naruto-to-boruto-shinobi-striker/?region=All
Pac-Man Championship Edition 2 + Arcade Game Series,XOne,0.16,Namco Bandai Games,Action,01 Nov 16,https://www.vgchartz.com/games/boxart/full_5702082AmericaFrontccc.jpeg,https://www.vgchartz.com/game/141901/pac-man-championship-edition-2-arcade-game-series/?region=All
The Escapists 2,XOne,0.15,Sold Out,Action,22 Aug 17,https://www.vgchartz.com/games/boxart/full_8878364AmericaFrontccc.png,https://www.vgchartz.com/game/192932/the-escapists-2/?region=All
Transformers: Devastation,XOne,0.15,Activision,Action,06 Oct 15,https://www.vgchartz.com/games/boxart/full_9884155AmericaFrontccc.jpg,https://www.vgchartz.com/game/85656/transformers-devastation/?region=All
DmC Devil May Cry: Definitive Edition,XOne,0.15,Capcom,Action,10 Mar 15,https://www.vgchartz.com/games/boxart/full_7435562AmericaFrontccc.jpg,https://www.vgchartz.com/game/85080/dmc-devil-may-cry-definitive-edition/?region=All
Attack on Titan,XOne,0.15,Tecmo Koei,Action,30 Aug 16,https://www.vgchartz.com/games/boxart/full_4533565AmericaFrontccc.jpg,https://www.vgchartz.com/game/112496/attack-on-titan/?region=All
Resident Evil: Revelations 2,XOne,0.14,Capcom,Action,20 Mar 15,https://www.vgchartz.com/games/boxart/full_6426967AmericaFrontccc.jpg,https://www.vgchartz.com/game/84243/resident-evil-revelations-2/?region=All
Dishonored: Death of the Outsider,XOne,0.14,Bethesda Softworks,Action,15 Sep 17,https://www.vgchartz.com/games/boxart/full_6883413PALFrontccc.jpg,https://www.vgchartz.com/game/182730/dishonored-death-of-the-outsider/?region=All
Song of the Deep,XOne,0.13,Insomniac Games,Action,12 Jul 16,https://www.vgchartz.com/games/boxart/full_4734656AmericaFrontccc.jpg,https://www.vgchartz.com/game/86430/song-of-the-deep/?region=All
Outlast Trinity,XOne,0.13,Warner Bros. Interactive Entertainment,Action,25 Apr 17,https://www.vgchartz.com/games/boxart/full_5605920AmericaFrontccc.jpg,https://www.vgchartz.com/game/159958/outlast-trinity/?region=All
Dead by Daylight,XOne,0.12,505 Games,Action,20 Jun 17,https://www.vgchartz.com/games/boxart/full_6473886AmericaFrontccc.jpg,https://www.vgchartz.com/game/173106/dead-by-daylight/?region=All
Darksiders III,XOne,0.12,THQ Nordic,Action,27 Nov 18,https://www.vgchartz.com/games/boxart/full_9526607AmericaFrontccc.jpg,https://www.vgchartz.com/game/174547/darksiders-iii/?region=All
The Surge,XOne,0.12,Focus Home Interactive,Action,16 May 17,https://www.vgchartz.com/games/boxart/full_9545436AmericaFrontccc.jpg,https://www.vgchartz.com/game/163774/the-surge/?region=All
7 Days to Die,XOne,0.12,Telltale Games,Action,28 Jun 16,https://www.vgchartz.com/games/boxart/full_9563805AmericaFrontccc.jpeg,https://www.vgchartz.com/game/103411/7-days-to-die/?region=All
Prototype: Biohazard Bundle,XOne,0.11,Activision,Action,11 Oct 16,https://www.vgchartz.com/games/boxart/full_2563467AmericaFrontccc.jpg,https://www.vgchartz.com/game/132800/prototype-biohazard-bundle/?region=All
Agents of Mayhem,XOne,0.11,Deep Silver,Action,15 Aug 17,https://www.vgchartz.com/games/boxart/full_4038673AmericaFrontccc.jpg,https://www.vgchartz.com/game/117549/agents-of-mayhem/?region=All
Metal Gear Solid V: The Definitive Experience,XOne,0.11,Konami Digital Entertainment,Action,11 Oct 16,https://www.vgchartz.com/games/boxart/full_341124AmericaFrontccc.jpg,https://www.vgchartz.com/game/132808/metal-gear-solid-v-the-definitive-experience/?region=All
Attack on Titan 2,XOne,0.09,Koei Tecmo,Action,20 Mar 18,https://www.vgchartz.com/games/boxart/full_9201675AmericaFrontccc.jpg,https://www.vgchartz.com/game/212036/attack-on-titan-2/?region=All
Bladestorm: Nightmare,XOne,0.08,Tecmo Koei,Action,03 Mar 15,https://www.vgchartz.com/games/boxart/full_7402708AmericaFrontccc.jpg,https://www.vgchartz.com/game/84864/bladestorm-nightmare/?region=All
Dead Island Definitive Collection,XOne,0.08,Deep Silver,Action,31 May 16,https://www.vgchartz.com/games/boxart/full_9177743PALFrontccc.jpg,https://www.vgchartz.com/game/94670/dead-island-definitive-collection/?region=All
Dynasty Warriors 9,XOne,0.08,Tecmo Koei,Action,13 Feb 18,https://www.vgchartz.com/games/boxart/full_8365572AmericaFrontccc.jpg,https://www.vgchartz.com/game/220250/dynasty-warriors-9/?region=All
Toy Soldiers: War Chest,XOne,0.08,Ubisoft,Action,11 Aug 15,https://www.vgchartz.com/games/boxart/full_9785935AmericaFrontccc.jpg,https://www.vgchartz.com/game/84072/toy-soldiers-war-chest/?region=All
Metal Gear Survive,XOne,0.08,Konami Digital Entertainment,Action,20 Feb 18,https://www.vgchartz.com/games/boxart/full_3581703AmericaFrontccc.jpg,https://www.vgchartz.com/game/213648/metal-gear-survive/?region=All
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,0.07,Activision,Action,24 May 16,https://www.vgchartz.com/games/boxart/full_6572280AmericaFrontccc.jpg,https://www.vgchartz.com/game/86420/teenage-mutant-ninja-turtles-mutants-in-manhattan/?region=All
